Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
74.3,0.0,0.4,24.9,0,0,0
76.5,0.0,0.2,23.9,0,0,0
77.4,0.0,0.2,23.1,0,0,0
75.2,0.0,0.1,21.9,0,0,0
-43.6,0.0,0.2,20.9,0,0,0
-70.3,0.0,0.1,20.0,0,0,0
-77.4,0.0,0.4,19.0,0,0,0
-77.4,0.0,0.7,18.5,0,0,0
-75.5,0.0,0.5,18.0,0,0,0
-73.1,0.0,0.3,17.6,0,0,0
-69.4,0.0,0.2,17.3,0,0,0
-65.0,2.8,0.5,17.6,0,11,11
-59.0,15.3,0.5,20.9,473,73,198
-50.6,26.9,0.8,23.9,622,113,394
-39.5,37.0,1.2,26.4,687,148,562
-24.2,44.6,1.8,28.5,692,188,674
-4.6,48.3,1.3,30.1,745,183,739
15.3,46.9,2.6,31.3,764,168,727
33.0,41.0,2.8,31.5,778,136,646
46.1,31.9,1.5,31.6,810,85,514
55.3,20.9,2.2,31.0,716,64,320
62.3,8.8,2.4,29.4,457,46,116
67.4,0.0,2.4,27.6,0,0,0
71.4,0.0,2.4,26.7,0,0,0
74.4,0.0,1.3,25.7,0,0,0
76.5,0.0,1.5,24.8,0,0,0
77.6,0.0,1.2,23.8,0,0,0
75.5,0.0,1.0,22.9,0,0,0
-45.5,0.0,0.6,21.9,0,0,0
-71.0,0.0,0.8,20.8,0,0,0
-77.5,0.0,1.5,19.6,0,0,0
-77.5,0.0,0.7,19.0,0,0,0
-76.0,0.0,0.2,18.4,0,0,0
-73.2,0.0,0.1,18.0,0,0,0
-69.5,0.0,0.0,17.5,0,0,0
-65.1,2.7,0.1,17.9,0,13,13
-59.1,15.3,0.5,21.3,586,62,216
-51.1,26.9,1.2,24.4,720,117,443
-39.6,37.1,3.0,26.3,464,236,516
-24.4,44.7,3.7,27.8,445,285,598
-5.1,48.4,4.9,28.9,393,332,626
15.3,47.1,6.1,29.3,215,364,522
33.0,41.2,3.8,29.6,326,297,512
46.1,32.1,1.8,29.4,385,207,412
55.4,21.1,3.5,28.6,371,136,269
62.3,8.9,3.5,27.3,329,60,111
67.4,0.0,2.4,25.8,0,1,1
71.4,0.0,1.5,24.8,0,0,0
74.5,0.0,1.3,23.9,0,0,0
77.0,0.0,2.4,23.0,0,0,0
78.1,0.0,2.2,21.8,0,0,0
76.1,0.0,2.8,20.5,0,0,0
-47.5,0.0,1.3,19.6,0,0,0
-71.4,0.0,1.8,18.7,0,0,0
-78.1,0.0,2.4,17.7,0,0,0
-78.0,0.0,2.0,17.3,0,0,0
-76.1,0.0,0.9,16.8,0,0,0
-73.3,0.0,0.6,16.5,0,0,0
-69.6,0.0,1.2,16.1,0,0,0
-65.2,2.7,1.3,16.5,0,11,11
-59.2,15.2,0.7,19.6,389,89,191
-51.2,26.9,1.8,22.7,520,139,374
-40.1,37.1,2.4,25.2,720,141,575
-24.5,44.8,2.8,27.3,688,206,690
-5.2,48.5,2.0,28.5,445,312,646
15.2,47.2,1.6,29.5,569,255,672
33.0,41.3,2.2,29.8,399,274,538
46.1,32.3,1.8,29.5,388,215,422
55.4,21.2,2.2,28.6,340,131,254
62.3,9.1,3.7,27.1,177,58,85
67.5,0.0,3.5,25.5,0,0,0
71.5,0.0,2.4,24.6,0,0,0
74.6,0.0,1.6,23.7,0,0,0
77.1,0.0,1.3,22.8,0,0,0
78.3,0.0,0.8,21.6,0,0,0
76.4,0.0,0.9,20.4,0,0,0
-49.5,0.0,0.8,19.3,0,0,0
-72.1,0.0,1.8,18.2,0,0,0
-78.3,0.0,1.3,17.1,0,0,0
-78.2,0.0,0.9,16.5,0,0,0
-76.2,0.0,0.8,16.0,0,0,0
-73.4,0.0,1.0,15.6,0,0,0
-70.1,0.0,0.8,15.1,0,0,0
-65.3,2.6,0.7,15.5,0,11,11
-59.3,15.2,1.0,19.0,627,52,217
-51.3,26.9,3.0,22.8,797,73,434
-40.2,37.2,4.5,25.4,897,78,620
-24.6,44.9,3.5,27.6,918,96,743
-5.2,48.6,4.5,29.4,925,104,799
15.2,47.4,5.5,30.5,912,106,777
33.0,41.5,6.7,31.0,890,95,685
46.1,32.4,5.5,30.9,814,90,527
55.4,21.4,4.0,29.9,693,71,324
62.4,9.2,6.7,28.2,453,43,116
67.5,0.0,4.5,26.3,0,0,0
71.6,0.0,3.0,25.4,0,0,0
75.1,0.0,1.3,24.6,0,0,0
77.3,0.0,0.4,23.7,0,0,0
78.4,0.0,0.5,22.9,0,0,0
77.1,0.0,0.9,21.8,0,0,0
-52.0,0.0,0.7,20.9,0,0,0
-72.5,0.0,0.8,20.1,0,0,0
-78.5,0.0,1.8,19.2,0,0,0
-78.3,0.0,1.2,18.8,0,0,0
-76.4,0.0,1.0,18.3,0,0,0
-73.5,0.0,1.6,18.1,0,0,0
-70.2,0.0,1.3,17.8,0,0,0
-65.4,2.6,1.0,18.1,0,8,8
-59.4,15.2,3.0,20.5,131,116,150
-51.4,26.9,3.0,23.1,171,225,303
-40.3,37.2,2.6,25.1,369,251,474
-25.1,45.0,1.8,26.9,364,316,573
-5.3,48.8,2.6,28.8,613,258,719
15.2,47.5,0.9,30.0,627,228,691
33.0,41.7,4.5,30.7,673,194,642
46.2,32.6,4.9,30.6,376,228,431
55.5,21.5,4.5,29.5,97,162,197
62.5,9.3,6.1,28.2,77,69,81
67.6,0.0,3.8,26.7,0,0,0
72.0,0.0,2.4,25.7,0,0,0
75.1,0.0,1.6,24.6,0,0,0
77.4,0.0,1.5,23.9,0,0,0
78.6,0.0,1.3,22.6,0,0,0
77.4,0.0,1.8,21.2,0,0,0
-54.1,0.0,3.0,19.9,0,0,0
-73.3,0.0,2.2,18.4,0,0,0
-79.1,0.0,1.5,17.0,0,0,0
-78.5,0.0,0.8,16.2,0,0,0
-76.5,0.0,0.5,15.4,0,0,0
-74.0,0.0,0.5,14.8,0,0,0
-70.3,0.0,1.0,14.3,0,0,0
-65.5,2.6,0.4,14.5,0,11,11
-59.5,15.2,0.4,17.5,461,74,195
-51.5,27.0,0.7,20.7,620,113,394
-40.5,37.3,0.9,23.7,691,148,566
-25.2,45.1,0.7,25.4,708,183,685
-5.4,48.9,2.0,26.9,709,203,737
15.1,47.7,2.4,27.9,712,196,722
33.0,41.9,2.2,28.3,704,168,638
46.2,32.8,1.6,28.2,665,133,492
55.5,21.7,2.6,27.3,531,108,304
62.5,9.5,3.3,25.8,312,59,110
68.1,0.0,3.5,24.1,0,0,0
72.1,0.0,1.0,23.4,0,0,0
75.2,0.0,0.9,22.2,0,0,0
77.5,0.0,0.5,21.1,0,0,0
79.1,0.0,0.3,19.9,0,0,0
78.1,0.0,0.1,18.7,0,0,0
-56.3,0.0,0.3,18.0,0,0,0
-74.2,0.0,0.5,17.3,0,0,0
-79.4,0.0,1.6,16.6,0,0,0
-79.0,0.0,3.3,16.3,0,0,0
-77.0,0.0,1.3,15.9,0,0,0
-74.1,0.0,1.8,15.6,0,0,0
-70.4,0.0,2.2,15.4,0,0,0
-66.0,2.6,1.6,15.7,0,10,10
-60.1,15.2,1.5,18.6,278,94,167
-52.1,27.0,2.0,21.5,367,171,338
-41.0,37.3,2.6,24.0,396,248,489
-25.4,45.2,1.8,25.8,391,308,586
-5.5,49.1,2.0,27.3,388,337,630
15.1,47.9,2.0,28.2,394,327,619
33.0,42.0,1.6,28.7,402,282,552
46.3,32.9,1.5,28.7,378,215,421
55.6,21.9,1.8,27.9,304,141,254
62.6,9.6,2.6,26.5,165,65,92
68.1,0.0,4.0,25.0,0,0,0
72.2,0.0,2.4,24.1,0,0,0
75.3,0.0,1.2,23.4,0,0,0
78.0,0.0,0.9,22.2,0,0,0
79.3,0.0,2.0,21.0,0,0,0
78.5,0.0,0.8,19.9,0,0,0
-58.5,0.0,0.8,18.7,0,0,0
-75.1,0.0,0.7,17.6,0,0,0
-80.0,0.0,0.3,16.4,0,0,0
-79.2,0.0,0.3,15.8,0,0,0
-77.1,0.0,0.2,15.2,0,0,0
-74.2,0.0,0.2,14.7,0,0,0
-70.5,0.0,0.1,14.3,0,0,0
-66.1,2.5,0.3,14.6,0,11,11
-60.2,15.2,0.8,18.1,593,57,212
-52.2,27.0,1.3,21.8,782,76,431
-41.1,37.4,0.9,24.7,880,84,618
-25.5,45.3,0.9,26.9,899,104,742
-6.0,49.2,0.4,28.6,886,122,793
15.0,48.1,0.2,29.8,872,124,773
33.1,42.2,1.0,30.3,874,103,691
46.3,33.1,2.0,30.3,835,82,538
56.1,22.0,2.2,29.3,704,71,335
63.0,9.8,2.6,27.7,462,45,124
68.2,0.0,1.8,25.8,0,0,0
72.3,0.0,2.4,24.6,0,0,0
75.4,0.0,2.6,23.8,0,0,0
78.1,0.0,1.6,22.3,0,0,0
79.5,0.0,1.5,20.8,0,0,0
79.2,0.0,1.3,19.3,0,0,0
-61.1,0.0,1.2,18.0,0,0,0
-75.6,0.0,1.5,16.7,0,0,0
-80.3,0.0,2.4,15.4,0,0,0
-79.4,0.0,3.3,14.6,0,0,0
-77.3,0.0,2.4,13.9,0,0,0
-74.4,0.0,2.2,13.4,0,0,0
-70.6,0.0,2.0,12.9,0,0,0
-66.3,2.5,2.6,13.2,0,11,11
-60.3,15.2,1.5,16.4,526,67,205
-52.3,27.1,1.3,19.6,639,111,401
-41.3,37.5,0.8,22.6,688,150,568
-26.0,45.4,0.7,24.6,682,196,681
-6.1,49.4,0.9,26.1,699,210,740
15.0,48.3,1.6,27.1,701,203,726
33.1,42.4,3.3,27.6,692,181,648
46.4,33.3,5.2,27.5,627,145,489
56.1,22.2,4.2,26.6,484,120,303
63.1,9.9,4.2,25.0,297,63,114
68.3,0.0,5.5,23.5,0,1,1
72.4,0.0,4.5,22.4,0,0,0
75.5,0.0,3.5,21.3,0,0,0
78.3,0.0,3.0,20.1,0,0,0
80.1,0.0,2.6,19.0,0,0,0
79.5,0.0,1.2,17.9,0,0,0
-63.4,0.0,0.8,17.2,0,0,0
-76.5,0.0,1.2,16.4,0,0,0
-80.5,0.0,1.2,15.7,0,0,0
-79.5,0.0,0.4,15.3,0,0,0
-77.4,0.0,0.2,15.0,0,0,0
-74.5,0.0,0.4,14.7,0,0,0
-71.1,0.0,0.8,14.4,0,0,0
-66.4,2.5,0.8,14.8,0,10,10
-60.4,15.2,0.8,17.9,362,85,180
-52.4,27.1,2.4,21.5,545,138,387
-41.4,37.5,2.0,24.3,661,157,560
-26.2,45.5,2.2,26.6,704,187,690
-6.2,49.5,2.6,28.3,688,216,739
14.6,48.5,1.0,29.5,650,225,711
33.1,42.6,2.0,30.0,594,210,612
46.4,33.5,3.3,30.0,590,166,491
56.2,22.4,2.0,29.1,527,113,313
63.2,10.1,1.2,27.6,356,53,115
68.4,0.0,2.2,25.8,0,1,1
72.5,0.0,1.8,24.9,0,0,0
76.1,0.0,0.7,24.0,0,0,0
78.4,0.0,0.4,23.3,0,0,0
80.3,0.0,0.8,22.1,0,0,0
80.3,0.0,1.0,20.9,0,0,0
-66.1,0.0,1.3,19.9,0,0,0
-77.5,0.0,1.3,18.7,0,0,0
-81.2,0.0,2.2,17.6,0,0,0
-80.1,0.0,1.8,16.9,0,0,0
-77.6,0.0,0.6,16.3,0,0,0
-75.0,0.0,0.4,15.9,0,0,0
-71.2,0.0,0.3,15.5,0,0,0
-66.5,2.5,1.0,15.7,0,10,10
-60.6,15.2,2.0,19.2,540,64,206
-52.6,27.1,2.8,22.8,727,89,421
-41.6,37.6,1.5,25.4,813,107,603
-26.3,45.6,2.8,27.6,805,144,720
