Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
87.3,0.0,0.7,10.7,0,0,0
97.2,0.0,0.4,10.7,0,0,0
110.2,0.0,0.4,10.5,0,0,0
131.3,0.0,0.3,10.4,0,0,0
-170.1,0.0,0.3,10.0,0,0,0
-144.3,0.0,0.2,9.4,0,0,0
-117.3,0.0,0.2,9.8,0,0,0
-102.1,0.0,0.3,9.8,0,0,0
-91.2,0.0,0.4,9.7,0,0,0
-82.2,0.0,0.3,9.7,0,0,0
-73.5,0.0,0.3,9.7,0,0,0
-65.1,0.0,0.3,9.7,0,0,0
-55.5,5.0,0.3,9.9,0,11,11
-45.1,14.1,0.3,10.0,0,20,20
-32.5,21.4,0.4,10.2,0,28,28
-18.4,26.5,0.5,10.6,0,96,96
-3.1,28.7,0.4,10.7,0,51,51
12.3,27.8,0.8,11.9,297,209,347
27.2,23.8,0.9,12.6,408,143,307
40.2,17.3,0.5,12.9,441,96,226
51.4,8.8,0.7,12.9,389,72,132
61.3,0.0,0.9,12.6,0,2,2
70.2,0.0,1.2,12.2,0,0,0
78.5,0.0,1.7,11.7,0,0,0
87.3,0.0,1.3,11.3,0,0,0
97.2,0.0,1.8,10.9,0,0,0
110.2,0.0,1.7,10.5,0,0,0
131.3,0.0,1.7,10.1,0,0,0
-169.5,0.0,0.8,9.5,0,0,0
-144.5,0.0,0.9,9.0,0,0,0
-117.5,0.0,1.5,8.4,0,0,0
-102.2,0.0,0.8,8.1,0,0,0
-91.3,0.0,0.3,7.8,0,0,0
-82.3,0.0,0.2,7.6,0,0,0
-74.0,0.0,0.1,7.4,0,0,0
-65.2,0.0,0.2,7.4,0,0,0
-55.6,5.1,0.3,8.0,230,37,57
-45.2,14.1,0.6,9.1,505,65,189
-32.5,21.5,2.0,10.3,553,97,300
-18.5,26.6,2.8,11.4,602,122,392
-3.2,28.8,4.6,12.3,589,139,423
12.3,27.9,6.1,12.7,611,127,413
27.1,23.9,4.9,13.0,631,97,353
40.2,17.4,2.3,12.9,641,66,258
51.4,9.0,4.4,12.4,370,49,107
61.3,0.0,4.4,11.5,0,1,1
70.3,0.0,3.3,11.0,0,0,0
78.6,0.0,2.3,10.5,0,0,0
87.4,0.0,2.1,10.0,0,0,0
97.3,0.0,3.6,9.5,0,0,0
110.3,0.0,3.6,9.0,0,0,0
131.3,0.0,4.6,8.5,0,0,0
-169.3,0.0,3.9,8.1,0,0,0
-145.2,0.0,4.6,7.7,0,0,0
-118.1,0.0,4.6,7.3,0,0,0
-102.4,0.0,4.4,7.1,0,0,0
-91.4,0.0,3.6,6.8,0,0,0
-82.4,0.0,2.7,6.7,0,0,0
-74.1,0.0,3.9,6.6,0,0,0
-65.3,0.0,3.6,6.5,0,0,0
-56.1,5.1,2.3,7.1,199,33,51
-45.3,14.1,3.1,8.3,509,65,190
-33.0,21.6,3.3,9.4,440,121,283
-18.6,26.7,3.6,10.4,411,160,345
-3.3,29.0,2.4,11.2,507,156,401
12.2,28.1,1.8,11.7,427,171,372
27.1,24.1,2.1,11.8,323,159,291
40.2,17.6,1.7,11.6,185,137,193
51.4,9.2,1.8,11.0,162,61,87
61.3,0.0,3.6,10.2,0,1,1
70.3,0.0,4.1,9.9,0,0,0
78.6,0.0,3.6,9.6,0,0,0
87.4,0.0,3.3,9.3,0,0,0
97.3,0.0,3.1,9.0,0,0,0
110.3,0.0,2.3,8.7,0,0,0
131.3,0.0,2.4,8.4,0,0,0
-169.2,0.0,2.3,8.2,0,0,0
-145.5,0.0,3.9,7.9,0,0,0
-118.3,0.0,2.3,7.3,0,0,0
-102.5,0.0,1.7,7.5,0,0,0
-91.6,0.0,2.1,7.5,0,0,0
-82.5,0.0,2.7,7.4,0,0,0
-74.2,0.0,2.3,7.3,0,0,0
-65.4,0.0,1.8,7.3,0,0,0
-56.2,5.1,2.1,7.7,23,32,35
-45.3,14.2,3.9,8.5,64,107,123
-33.1,21.6,5.8,9.5,101,174,211
-19.0,26.8,4.4,10.3,93,220,262
-3.3,29.1,5.5,10.8,68,232,265
12.2,28.2,7.2,11.2,86,231,272
27.1,24.3,8.6,11.4,80,191,224
40.2,17.7,8.1,11.4,124,139,177
51.4,9.3,6.5,11.0,56,65,74
61.4,0.0,10.2,10.3,0,1,1
70.3,0.0,9.4,10.1,0,0,0
79.0,0.0,7.7,9.9,0,0,0
87.5,0.0,5.2,9.7,0,0,0
97.4,0.0,2.7,9.4,0,0,0
110.4,0.0,2.7,9.2,0,0,0
