Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
38.4,6.6,6.8,7.0,283,55,88
50.5,0.1,6.3,5.6,0,4,4
62.3,0.0,4.8,5.0,0,0,0
73.4,0.0,2.9,4.5,0,0,0
84.5,0.0,2.9,3.9,0,0,0
96.5,0.0,2.2,3.4,0,0,0
110.3,0.0,2.5,2.8,0,0,0
127.1,0.0,1.8,2.3,0,0,0
148.3,0.0,1.8,1.7,0,0,0
174.5,0.0,1.4,1.2,0,0,0
-158.0,0.0,1.4,0.3,0,0,0
-134.4,0.0,1.0,-0.6,0,0,0
-116.3,0.0,1.1,-1.5,0,0,0
-101.5,0.0,1.3,-1.9,0,0,0
-89.2,0.0,1.4,-2.4,0,0,0
-77.6,0.0,1.2,-2.8,0,0,0
-66.5,0.0,0.9,-3.1,0,0,0
-55.3,0.0,1.2,-3.2,0,0,0
-43.3,4.4,1.1,-1.9,302,29,52
-30.4,9.9,1.1,-0.1,405,64,134
-17.0,13.6,1.2,1.3,417,74,173
-2.5,15.2,1.4,2.6,611,58,219
11.3,14.5,1.0,3.5,662,58,224
25.3,11.6,1.5,3.8,691,42,181
38.4,6.7,1.6,3.2,533,31,94
50.5,0.3,1.2,1.8,0,3,3
62.3,0.0,1.4,1.5,0,0,0
73.4,0.0,1.6,1.1,0,0,0
84.5,0.0,1.9,0.8,0,0,0
96.5,0.0,2.1,0.5,0,0,0
110.3,0.0,2.0,0.1,0,0,0
127.1,0.0,2.2,-0.2,0,0,0
148.2,0.0,2.2,-0.6,0,0,0
174.4,0.0,2.2,-0.9,0,0,0
-158.2,0.0,1.9,-0.9,0,0,0
-134.6,0.0,2.0,-0.9,0,0,0
-116.4,0.0,2.2,-1.0,0,0,0
-102.1,0.0,1.7,-0.9,0,0,0
-89.4,0.0,1.3,-0.9,0,0,0
-78.1,0.0,0.8,-0.9,0,0,0
-66.6,0.0,0.5,-0.9,0,0,0
-55.4,0.0,0.7,-0.9,0,0,0
-43.4,4.5,0.9,-0.1,0,25,25
-30.5,10.0,1.2,1.7,141,68,93
-17.1,13.8,1.9,3.0,85,97,117
-2.5,15.3,2.4,3.7,23,110,117
11.3,14.7,3.0,4.0,2,92,92
25.2,11.8,4.0,4.1,29,79,85
38.3,6.9,3.2,3.7,15,43,45
50.5,0.5,2.1,2.9,0,1,1
62.3,0.0,3.0,2.7,0,0,0
73.4,0.0,3.4,2.5,0,0,0
84.5,0.0,3.0,2.3,0,0,0
96.5,0.0,2.7,2.0,0,0,0
110.3,0.0,3.0,1.9,0,0,0
127.0,0.0,4.6,1.7,0,0,0
148.2,0.0,4.8,1.4,0,0,0
174.2,0.0,5.7,1.2,0,0,0
-158.3,0.0,4.6,0.9,0,0,0
-135.1,0.0,5.2,0.4,0,0,0
-116.6,0.0,5.4,0.1,0,0,0
-102.2,0.0,5.2,-0.1,0,0,0
-89.5,0.0,4.8,-0.3,0,0,0
-78.2,0.0,4.0,-0.5,0,0,0
-67.1,0.0,5.0,-0.7,0,0,0
-55.4,0.0,5.0,-0.7,0,0,0
-43.5,4.5,3.8,-0.5,0,14,14
-30.6,10.1,4.8,-0.2,0,30,30
-17.2,13.9,5.0,0.0,0,48,48
-3.0,15.5,5.2,0.3,0,56,56
11.2,14.8,4.3,0.4,0,55,55
25.2,11.9,3.6,0.3,0,39,39
38.3,7.1,3.8,0.1,0,20,20
50.5,0.6,3.4,-0.2,0,1,1
62.3,0.0,3.4,0.0,0,0,0
73.4,0.0,5.0,0.2,0,0,0
