Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
71.5,0.0,0.3,28.5,0,0,0
71.2,0.0,0.1,27.9,0,0,0
67.3,0.0,0.1,27.4,0,0,0
52.5,0.0,0.0,26.8,0,0,0
-10.0,0.0,0.2,26.4,0,0,0
-58.4,0.0,0.1,26.0,0,0,0
-69.1,0.0,0.1,25.5,0,0,0
-71.5,0.0,0.2,25.3,0,0,0
-71.5,0.0,0.2,25.1,0,0,0
-70.2,0.0,0.1,24.9,0,0,0
-67.4,0.0,0.1,24.9,0,1,1
-63.5,9.6,0.1,26.0,440,46,119
-58.1,22.4,0.1,27.9,619,111,347
-50.0,34.2,0.1,28.9,162,267,358
-37.5,44.4,0.1,29.7,111,346,424
-20.0,51.5,0.1,30.3,97,375,451
2.4,53.7,0.1,30.3,12,275,284
24.3,50.3,0.1,30.5,39,353,383
40.6,42.3,0.1,30.7,73,319,368
52.1,31.7,0.1,30.6,122,252,316
59.4,19.6,0.1,30.4,306,140,242
64.5,6.7,0.1,29.8,216,54,79
68.3,0.0,0.1,29.0,0,0,0
70.5,0.0,0.2,28.3,0,0,0
71.6,0.0,0.2,27.7,0,0,0
71.3,0.0,0.2,27.0,0,0,0
67.5,0.0,0.2,26.3,0,0,0
53.2,0.0,0.2,25.7,0,0,0
-9.3,0.0,0.0,25.2,0,0,0
-58.5,0.0,0.0,24.7,0,0,0
-69.2,0.0,0.2,24.2,0,0,0
-71.6,0.0,0.1,23.9,0,0,0
-71.6,0.0,0.0,23.6,0,0,0
-70.3,0.0,0.0,23.4,0,0,0
-67.5,0.0,0.0,23.4,0,0,0
-64.0,9.5,0.0,24.3,90,70,85
-58.2,22.3,0.0,25.5,151,185,243
-50.1,34.2,0.1,26.9,186,301,406
-38.0,44.4,0.3,28.3,298,323,531
-20.1,51.6,0.4,29.5,359,348,630
2.3,53.9,0.6,30.4,354,365,650
24.3,50.4,0.9,31.0,371,337,623
41.0,42.5,0.7,31.2,312,305,515
52.1,31.8,0.6,31.0,160,277,361
59.5,19.7,0.7,30.5,160,157,211
64.6,6.8,0.7,29.6,162,41,60
68.3,0.0,0.4,28.7,0,0,0
70.5,0.0,0.3,28.0,0,0,0
72.1,0.0,0.1,27.4,0,0,0
71.4,0.0,0.1,26.7,0,0,0
68.1,0.0,0.1,26.1,0,0,0
53.6,0.0,0.2,25.5,0,0,0
-9.0,0.0,0.1,24.9,0,0,0
-59.1,0.0,0.1,24.3,0,0,0
-69.3,0.0,0.4,23.6,0,0,0
-72.1,0.0,0.4,23.3,0,0,0
-72.1,0.0,0.1,23.0,0,0,0
-70.4,0.0,0.0,22.7,0,0,0
-68.0,0.0,0.1,22.7,0,0,0
-64.1,9.5,0.1,23.6,198,63,96
-58.3,22.3,0.2,25.1,345,143,274
-50.3,34.2,0.4,26.6,377,233,444
-38.2,44.4,0.6,28.0,393,303,578
-20.3,51.7,0.9,29.1,397,336,648
2.2,54.0,0.9,30.0,378,358,663
24.2,50.6,1.0,30.6,433,317,652
41.0,42.6,1.0,30.8,399,287,558
52.2,32.0,1.0,30.7,365,217,411
59.5,19.9,1.0,30.1,334,122,236
65.0,6.9,1.0,29.2,235,40,68
68.4,0.0,0.9,28.2,0,0,0
71.0,0.0,0.6,27.6,0,0,0
72.1,0.0,0.3,26.9,0,0,0
71.5,0.0,0.3,26.3,0,0,0
68.3,0.0,0.2,25.7,0,0,0
54.4,0.0,0.2,25.1,0,0,0
-8.4,0.0,0.2,24.6,0,0,0
-59.2,0.0,0.3,24.1,0,0,0
-69.5,0.0,0.4,23.6,0,0,0
-72.2,0.0,0.4,23.3,0,0,0
-72.2,0.0,0.1,23.0,0,0,0
-70.5,0.0,0.1,22.8,0,0,0
-68.1,0.0,0.1,22.8,0,1,1
-64.2,9.5,0.2,24.0,492,47,128
-58.5,22.3,0.3,25.9,784,69,366
-50.4,34.2,0.6,27.9,830,111,578
-38.3,44.5,1.0,29.3,575,246,649
-20.4,51.8,1.2,30.1,283,371,593
2.1,54.1,1.5,30.5,174,403,544
24.2,50.7,2.0,31.0,339,356,619
41.0,42.8,2.4,31.2,413,281,561
52.2,32.1,2.4,31.0,324,224,397
59.6,20.0,2.4,30.3,143,150,199
65.1,7.1,2.8,29.2,0,34,34
68.4,0.0,1.8,28.2,0,0,0
71.1,0.0,1.3,27.6,0,0,0
72.2,0.0,0.9,27.1,0,0,0
72.1,0.0,0.5,26.5,0,0,0
68.5,0.0,0.5,25.9,0,0,0
55.1,0.0,0.5,25.4,0,0,0
-8.1,0.0,0.5,25.0,0,0,0
-59.4,0.0,0.5,24.6,0,0,0
-70.0,0.0,1.0,24.1,0,0,0
-72.3,0.0,0.9,23.9,0,0,0
-72.3,0.0,0.4,23.7,0,0,0
-70.6,0.0,0.5,23.6,0,0,0
-68.2,0.0,0.5,23.6,0,0,0
-64.3,9.4,0.5,24.8,333,63,118
-58.6,22.3,0.9,26.2,450,124,295
-50.5,34.2,1.3,27.8,465,211,473
-38.4,44.5,1.8,29.3,459,278,599
-20.5,51.9,1.8,30.6,565,275,720
2.0,54.3,2.4,31.6,583,270,744
24.2,50.9,1.8,32.3,558,278,711
41.1,43.0,2.8,32.4,214,332,478
52.3,32.3,3.1,31.9,74,259,298
60.0,20.2,3.1,31.1,28,149,159
65.1,7.2,3.1,30.1,28,47,51
68.5,0.0,2.4,29.2,0,0,0
71.2,0.0,1.8,28.4,0,0,0
72.3,0.0,1.2,27.5,0,0,0
72.2,0.0,1.0,26.7,0,0,0
69.1,0.0,0.9,25.9,0,0,0
55.5,0.0,1.0,25.1,0,0,0
-7.4,0.0,1.2,24.2,0,0,0
-60.0,0.0,1.2,23.1,0,0,0
-70.2,0.0,1.5,22.0,0,0,0
-72.4,0.0,1.3,21.4,0,0,0
-72.4,0.0,0.7,20.8,0,0,0
-71.1,0.0,0.6,20.4,0,0,0
-68.3,0.0,0.7,20.3,0,0,0
-64.4,9.4,0.7,20.8,114,69,87
-59.1,22.2,0.9,21.8,330,141,265
-51.0,34.2,1.2,22.8,399,220,445
-38.6,44.6,1.5,23.9,423,295,592
-21.1,52.0,1.5,24.7,466,310,677
1.5,54.4,2.0,25.3,445,334,696
24.2,51.1,2.4,25.7,414,327,649
41.1,43.1,2.4,25.7,393,293,561
52.3,32.4,2.0,25.6,385,210,416
60.1,20.3,2.4,25.0,299,130,233
65.2,7.3,2.4,24.1,149,48,67
69.0,0.0,1.8,23.2,0,0,0
71.3,0.0,1.2,22.6,0,0,0
72.5,0.0,0.7,21.9,0,0,0
72.3,0.0,0.5,21.2,0,0,0
69.3,0.0,0.4,20.5,0,0,0
56.3,0.0,0.3,19.8,0,0,0
-7.1,0.0,0.3,19.8,0,0,0
-60.2,0.0,0.3,19.7,0,0,0
-70.3,0.0,0.7,19.7,0,0,0
-72.6,0.0,1.0,19.6,0,0,0
-72.5,0.0,0.4,19.6,0,0,0
-71.2,0.0,0.4,19.6,0,0,0
-68.4,0.0,0.5,19.6,0,0,0
-64.5,9.3,0.5,20.7,286,55,102
-59.2,22.2,0.7,22.5,515,109,304
-51.2,34.2,1.0,24.5,639,146,506
-39.1,44.6,1.5,26.3,697,186,676
-21.2,52.1,1.5,27.9,696,225,774
1.4,54.6,1.8,29.1,732,219,816
24.2,51.3,2.0,30.0,754,193,781
41.1,43.3,1.8,30.4,719,170,663
52.4,32.6,1.8,30.3,688,125,495
60.1,20.4,1.8,29.6,557,92,286
65.3,7.5,1.8,28.4,280,49,85
69.1,0.0,1.5,27.2,0,0,0
71.4,0.0,1.2,26.8,0,0,0
72.6,0.0,0.7,26.3,0,0,0
72.5,0.0,0.5,25.9,0,0,0
69.5,0.0,0.6,25.5,0,0,0
57.1,0.0,0.5,25.1,0,0,0
-6.4,0.0,0.9,24.6,0,0,0
-60.5,0.0,0.9,24.2,0,0,0
-70.5,0.0,0.6,23.7,0,0,0
-73.1,0.0,0.5,23.5,0,0,0
-73.0,0.0,0.5,23.2,0,0,0
-71.3,0.0,0.5,23.1,0,0,0
-68.5,0.0,0.4,23.1,0,1,1
-65.0,9.3,0.4,23.7,25,62,66
-59.3,22.2,0.5,24.6,32,149,161
-51.3,34.3,0.5,24.4,0,47,47
-39.3,44.7,0.4,25.6,79,327,382
-21.4,52.2,0.3,26.1,12,275,285
1.3,54.8,0.3,26.6,14,307,318
24.2,51.5,0.1,26.7,11,237,245
41.2,43.5,0.3,27.3,170,332,450
52.4,32.8,0.3,27.8,394,236,449
60.2,20.6,0.3,27.9,660,97,329
65.4,7.6,0.3,27.4,341,42,87
69.2,0.0,0.3,26.8,0,0,0
71.5,0.0,0.3,26.2,0,0,0
73.1,0.0,0.4,25.7,0,0,0
73.0,0.0,0.4,25.1,0,0,0
70.1,0.0,0.4,24.5,0,0,0
57.6,0.0,0.4,23.9,0,0,0
-6.1,0.0,0.4,23.3,0,0,0
-61.1,0.0,0.4,22.1,0,0,0
-71.1,0.0,0.5,22.1,0,0,0
-73.3,0.0,0.6,21.9,0,0,0
-73.1,0.0,0.6,21.6,0,0,0
-71.4,0.0,0.6,21.4,0,0,0
-69.0,0.0,0.7,21.3,0,0,0
-65.1,9.3,0.7,21.0,0,10,10
-59.4,22.2,0.6,21.6,0,65,65
-51.4,34.3,0.6,22.8,18,225,235
-39.4,44.8,0.5,24.1,59,338,380
-21.5,52.3,0.4,24.2,5,231,235
1.3,55.0,0.4,24.6,10,274,282
24.2,51.7,0.4,24.4,3,173,176
41.2,43.7,0.5,25.4,269,340,525
52.5,32.9,0.7,26.0,724,170,563
60.3,20.7,0.7,26.0,283,144,244
65.5,7.7,0.7,25.5,154,49,70
69.3,0.0,1.0,24.9,0,0,0
71.6,0.0,1.0,24.3,0,0,0
73.2,0.0,1.0,24.1,0,0,0
73.2,0.0,1.2,23.7,0,0,0
70.4,0.0,1.2,22.9,0,0,0
58.4,0.0,1.0,21.3,0,0,0
-5.4,0.0,0.5,22.5,0,0,0
-61.4,0.0,0.5,22.2,0,0,0
-71.3,0.0,0.9,21.9,0,0,0
-73.4,0.0,0.7,21.7,0,0,0
-73.3,0.0,0.3,21.6,0,0,0
-71.5,0.0,0.3,21.4,0,0,0
-69.2,0.0,0.3,21.4,0,0,0
-65.3,9.3,0.4,22.6,364,47,106
-59.6,22.2,0.5,24.3,464,118,294
-51.6,34.3,0.9,26.0,502,195,478
-39.6,44.9,1.2,27.8,593,232,650
-22.0,52.5,1.3,29.1,471,317,690
1.2,55.1,1.8,30.1,442,340,702
24.2,51.9,1.5,30.7,439,324,669
41.3,43.9,1.8,31.1,472,267,594
52.6,33.1,2.0,31.1,522,180,465
60.4,20.9,1.8,30.5,498,107,284
65.5,7.9,1.3,29.4,325,55,99
69.4,0.0,1.2,28.3,0,0,0
72.1,0.0,0.9,27.7,0,0,0
73.3,0.0,0.5,27.2,0,0,0
73.4,0.0,0.3,26.6,0,0,0
71.0,0.0,0.3,26.1,0,0,0
59.2,0.0,0.3,25.5,0,0,0
-5.1,0.0,0.3,25.1,0,0,0
-62.1,0.0,0.3,24.5,0,0,0
-71.5,0.0,0.7,24.0,0,0,0
-73.6,0.0,0.7,23.7,0,0,0
-73.4,0.0,0.3,23.4,0,0,0
-72.1,0.0,0.2,23.2,0,0,0
-69.3,0.0,0.2,23.2,0,0,0
-65.4,9.3,0.3,23.9,66,61,71
-60.1,22.2,0.5,25.3,175,181,247
-52.1,34.4,0.9,26.9,342,234,427
-40.1,44.9,1.0,28.4,381,310,579
-22.2,52.6,1.3,29.7,382,356,660
1.1,55.3,1.5,30.8,559,298,758
24.2,52.1,1.8,31.6,565,275,720
41.3,44.1,2.4,31.9,354,312,558
53.1,33.3,2.4,31.9,444,202,445
60.5,21.0,2.0,31.3,428,127,281
66.0,8.0,1.5,30.3,94,52,65
69.5,0.0,1.2,29.2,0,0,0
72.2,0.0,0.7,28.7,0,0,0
73.5,0.0,0.5,28.1,0,0,0
73.5,0.0,0.5,27.5,0,0,0
71.2,0.0,0.5,27.0,0,0,0
60.1,0.0,0.5,26.4,0,0,0
-4.5,0.0,0.5,25.9,0,0,0
-62.4,0.0,0.4,25.4,0,0,0
-72.1,0.0,0.7,25.0,0,0,0
-74.1,0.0,0.5,24.7,0,0,0
-73.5,0.0,0.2,24.5,0,0,0
-72.2,0.0,0.3,24.3,0,0,0
-69.4,0.0,0.2,24.3,0,0,0
-65.5,9.2,0.3,25.2,252,56,96
-60.2,22.3,0.4,26.4,137,180,232
-52.3,34.4,0.6,27.7,198,278,390
-40.3,45.0,1.0,29.6,544,273,658
-22.3,52.7,1.5,30.6,263,382,591
1.0,55.5,1.8,31.4,235,428,622
24.2,52.3,1.8,31.9,261,379,585
41.4,44.2,2.0,32.3,399,309,587
53.1,33.5,2.4,32.2,303,235,402
60.6,21.2,2.4,31.7,193,171,241
66.1,8.1,2.0,30.8,260,48,85
69.6,0.0,1.5,29.8,0,0,0
72.3,0.0,1.3,29.2,0,0,0
73.6,0.0,0.9,28.7,0,0,0
74.1,0.0,0.9,28.1,0,0,0
71.5,0.0,0.9,27.5,0,0,0
60.6,0.0,0.9,26.9,0,0,0
-4.2,0.0,1.0,26.5,0,0,0
-63.1,0.0,0.7,25.9,0,0,0
-72.3,0.0,1.2,25.4,0,0,0
-74.3,0.0,1.2,25.2,0,0,0
-74.1,0.0,0.6,24.9,0,0,0
-72.3,0.0,0.6,24.7,0,0,0
-69.5,0.0,0.7,24.7,0,1,1
-66.0,9.2,0.7,25.8,343,62,117
-60.4,22.3,1.0,27.4,484,127,310
-52.4,34.5,1.5,29.5,787,143,588
-40.5,45.1,2.0,31.2,685,216,702
-22.5,52.9,3.1,31.9,229,389,572
0.5,55.7,3.5,32.3,143,415,533
24.2,52.5,3.5,32.6,169,391,525
41.5,44.4,4.0,32.8,297,328,536
53.2,33.6,3.5,32.8,340,244,432
61.1,21.4,3.5,32.1,81,158,187
66.2,8.3,3.5,31.0,6,51,52
70.1,0.0,2.8,30.1,0,0,0
72.4,0.0,2.4,29.4,0,0,0
74.1,0.0,1.5,28.7,0,0,0
74.3,0.0,1.3,28.0,0,0,0
72.2,0.0,1.3,27.4,0,0,0
61.5,0.0,1.3,26.7,0,0,0
-3.5,0.0,1.2,26.1,0,0,0
-63.5,0.0,1.2,25.6,0,0,0
-72.6,0.0,1.8,25.0,0,0,0
-74.5,0.0,1.5,24.7,0,0,0
-74.2,0.0,0.7,24.4,0,0,0
-72.5,0.0,0.7,24.2,0,0,0
-70.1,0.0,0.7,24.2,0,0,0
-66.2,9.2,0.9,25.1,294,51,98
-60.5,22.3,1.3,26.7,533,106,308
-52.6,34.5,1.8,28.4,513,198,489
-41.0,45.2,2.4,30.0,604,222,651
-23.0,53.1,2.8,31.3,516,299,712
0.5,55.9,3.1,32.3,560,301,765
24.2,52.7,4.0,32.9,457,324,688
41.6,44.6,4.0,33.0,467,274,602
53.3,33.8,4.5,32.9,324,238,418
61.2,21.5,4.8,32.2,145,173,227
66.3,8.4,4.0,31.1,189,51,78
70.2,0.0,2.8,30.1,0,0,0
72.5,0.0,1.8,29.6,0,0,0
74.3,0.0,1.3,29.0,0,0,0
74.5,0.0,1.2,28.5,0,0,0
72.4,0.0,0.9,28.0,0,0,0
62.4,0.0,0.9,27.5,0,0,0
-3.1,0.0,0.9,27.1,0,0,0
-64.3,0.0,0.9,26.7,0,0,0
-73.2,0.0,1.5,26.3,0,0,0
-75.1,0.0,1.8,26.1,0,0,0
-74.4,0.0,1.0,26.0,0,0,0
-72.6,0.0,1.0,25.9,0,0,0
-70.2,0.0,1.0,25.9,0,0,0
-66.3,9.2,1.2,26.1,0,23,23
-61.1,22.3,1.8,27.0,7,139,142
-53.1,34.6,2.8,28.0,31,247,265
-41.2,45.3,3.1,29.9,324,346,577
-23.2,53.2,4.5,30.5,59,343,391
0.4,56.1,5.2,32.1,548,352,807
24.2,52.9,6.2,33.2,720,258,833
